"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/README.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 35, 125
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/generate.zsh", "Shell Script", 66, 0, 0, 0, 0, 0, 0, 0, 0, 39, 13, 118
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/tap-colorizer.zsh", "Shell Script", 30, 0, 0, 0, 0, 0, 0, 0, 0, 37, 5, 72
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/test-highlighting.zsh", "Shell Script", 198, 0, 0, 0, 0, 0, 0, 0, 0, 62, 32, 292
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/test-perfs.zsh", "Shell Script", 45, 0, 0, 0, 0, 0, 0, 0, 0, 42, 17, 104
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/tests/test-zprof.zsh", "Shell Script", 31, 0, 0, 0, 0, 0, 0, 0, 0, 36, 12, 79
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/zsh-syntax-highlighting.plugin.zsh", "Shell Script", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/zsh-syntax-highlighting.zsh", "Shell Script", 308, 0, 0, 0, 0, 0, 0, 0, 0, 205, 75, 588
"/home/galeano/dotfiles/polybar/.config/polybar/launch.sh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 14
"Total", "-", 5602, 1928, 16, 108, 885, 82, 2, 85, 46, 10510, 2905, 22169
